Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Requests; Total_Item_Investigations; Searches_Automated; Searches_Federated; Searches_Regular
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:05Z
Created_By	SpringerNature

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Springer Materials	mat		SpringerMaterials		Total_Item_Requests	2	2	0
Springer Materials	mat		SpringerMaterials		Total_Item_Investigations	4	4	0
Springer Materials	mat		SpringerMaterials		Searches_Regular	14	14	0
