Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:07Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Case-Based Guide to Clinical Endocrinology	Springer New York		SpringerLink	10.1007/978-1-4939-2059-4	SN:10.1007/978-1-4939-2059-4	978-1-4939-2059-4				2015	No_License	1	1	0
A Practical Approach to Cognitive Behaviour Therapy for Adolescents	Springer India		SpringerLink	10.1007/978-81-322-2241-5	SN:10.1007/978-81-322-2241-5	978-81-322-2241-5				2015	No_License	1	1	0
A Relational View on Cultural Complexity	Springer International Publishing		SpringerLink	10.1007/978-3-031-27454-1	SN:10.1007/978-3-031-27454-1	978-3-031-27454-1	2662-9852	2662-9860		2023	No_License	1	1	0
Action Research Methods	Palgrave Macmillan US		SpringerLink	10.1057/9781137046635	SN:10.1057/9781137046635	978-1-137-04663-5				2012	No_License	1	1	0
Adaptive Soil Management : From Theory to Practices	Springer Singapore		SpringerLink	10.1007/978-981-10-3638-5	SN:10.1007/978-981-10-3638-5	978-981-10-3638-5				2017	No_License	1	1	0
Advanced Informatics for Computing Research	Springer Singapore		SpringerLink	10.1007/978-981-16-3660-8	SN:10.1007/978-981-16-3660-8	978-981-16-3660-8	1865-0929	1865-0937		2021	No_License	2	2	0
Advanced Tire Mechanics	Springer Singapore		SpringerLink	10.1007/978-981-13-5799-2	SN:10.1007/978-981-13-5799-2	978-981-13-5799-2				2019	No_License	2	2	0
Advances in Natural Polymers	Springer Berlin Heidelberg		SpringerLink	10.1007/978-3-642-20940-6	SN:10.1007/978-3-642-20940-6	978-3-642-20940-6	1869-8433	1869-8441		2013	No_License	3	3	0
Advances in Soil Science	Springer New York		SpringerLink	10.1007/978-1-4612-3144-8	SN:10.1007/978-1-4612-3144-8	978-1-4612-3144-8	0176-9340			1991	No_License	1	1	0
Advances in Thermochemical Biomass Conversion	Springer Netherlands		SpringerLink	10.1007/978-94-011-1336-6	SN:10.1007/978-94-011-1336-6	978-94-011-1336-6				1993	No_License	1	1	0
