Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:02Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Acta Politica	Palgrave Macmillan UK		SpringerLink	10.1057/41269.1741-1416	SN:41269	0001-6810	1741-1416		No_License	2	2	0
American Journal of Potato Research	Springer US		SpringerLink	10.1007/12230.1874-9380	SN:12230	1099-209X	1874-9380		No_License	4	4	0
Behaviormetrika	Springer Japan		SpringerLink		SN:41237	0385-7417	1349-6964		No_License	1	1	0
BioSocieties	Palgrave Macmillan UK		SpringerLink	10.1057/41292.1745-8560	SN:41292	1745-8552	1745-8560		No_License	1	1	0
CNS Drugs	Springer International Publishing		SpringerLink	10.1007/40263.1179-1934	SN:40263	1172-7047	1179-1934		No_License	1	1	0
Drugs	Springer International Publishing		SpringerLink	10.1007/40265.1179-1950	SN:40265	0012-6667	1179-1950		No_License	7	7	0
European Journal of Clinical Nutrition	Nature Publishing Group UK		nature.com	10.1038/41430.1476-5640	SN:41430	0954-3007	1476-5640		No_License	4	4	0
Gene Therapy	Nature Publishing Group UK		nature.com	10.1038/41434.1476-5462	SN:41434	0969-7128	1476-5462		No_License	2	2	0
JOM	Springer US		SpringerLink		SN:11837	1047-4838	1543-1851		No_License	1	1	0
Journal of Global Entrepreneurship Research	Springer Berlin Heidelberg		SpringerLink		SN:40497	2228-7566	2251-7316		No_License	1	1	0
Journal of Northeast Asian Studies	Springer Netherlands		SpringerLink		SN:12140	1096-6838	1874-6284		No_License	1	1	0
Journal of Perinatology	Nature Publishing Group US		nature.com	10.1038/41372.1476-5543	SN:41372	0743-8346	1476-5543		No_License	3	3	0
Journal of Public Health Policy	Palgrave Macmillan UK		SpringerLink	10.1057/41271.1745-655X	SN:41271	0197-5897	1745-655X		No_License	3	3	0
Lab Animal	Nature Publishing Group US		nature.com		SN:41684	0093-7355	1548-4475		No_License	3	3	0
Maritime Studies	Springer Berlin Heidelberg		SpringerLink	10.1007/40152.2212-9790	SN:40152	1872-7859	2212-9790		No_License	3	3	0
Molecular Psychiatry	Nature Publishing Group UK		nature.com	10.1038/41380.1476-5578	SN:41380	1359-4184	1476-5578		No_License	7	7	0
MRS Online Proceedings Library	Springer International Publishing		SpringerLink		SN:43582	0272-9172	1946-4274		No_License	1	1	0
Nature	Nature Publishing Group UK		nature.com	10.1038/41586.1476-4687	SN:41586	0028-0836	1476-4687		No_License	105	105	0
Nature Astronomy	Nature Publishing Group UK		nature.com	10.1038/41550.2397-3366	SN:41550		2397-3366		No_License	2	2	0
Nature Biomedical Engineering	Nature Publishing Group UK		nature.com	10.1038/41551.2157-846X	SN:41551		2157-846X		No_License	1	1	0
Nature Biotechnology	Nature Publishing Group US		nature.com	10.1038/41587.1546-1696	SN:41587	1087-0156	1546-1696		No_License	12	12	0
Nature Cell Biology	Nature Publishing Group UK		nature.com	10.1038/41556.1476-4679	SN:41556	1465-7392	1476-4679		No_License	3	3	0
Nature Chemical Biology	Nature Publishing Group US		nature.com		SN:41589	1552-4450	1552-4469		No_License	2	2	0
Nature Chemistry	Nature Publishing Group UK		nature.com	10.1038/41557.1755-4349	SN:41557	1755-4330	1755-4349		No_License	2	2	0
Nature Climate Change	Nature Publishing Group UK		nature.com	10.1038/41558.1758-6798	SN:41558	1758-678X	1758-6798		No_License	12	12	0
Nature Computational Science	Nature Publishing Group US		nature.com		SN:43588		2662-8457		No_License	1	1	0
Nature Ecology & Evolution	Nature Publishing Group UK		nature.com	10.1038/41559.2397-334X	SN:41559		2397-334X		No_License	16	16	0
Nature Food	Nature Publishing Group UK		nature.com		SN:43016		2662-1355		No_License	4	4	0
Nature Genetics	Nature Publishing Group US		nature.com	10.1038/41588.1546-1718	SN:41588	1061-4036	1546-1718		No_License	4	4	0
Nature Human Behaviour	Nature Publishing Group UK		nature.com	10.1038/41562.2397-3374	SN:41562		2397-3374		No_License	1	1	0
