Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:10Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205	2190-572X	2190-5738		Controlled	Unique_Item_Requests	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205	2190-572X	2190-5738		Controlled	Total_Item_Requests	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205	2190-572X	2190-5738		Controlled	Total_Item_Investigations	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205	2190-572X	2190-5738		Controlled	Unique_Item_Investigations	2	2	0
Abdominal Imaging	Springer US		SpringerLink	10.1007/261.1432-0509	SN:261	0942-8925	1432-0509		Controlled	Unique_Item_Requests	1	1	0
Abdominal Imaging	Springer US		SpringerLink	10.1007/261.1432-0509	SN:261	0942-8925	1432-0509		Controlled	Total_Item_Requests	2	2	0
Abdominal Imaging	Springer US		SpringerLink	10.1007/261.1432-0509	SN:261	0942-8925	1432-0509		Controlled	Total_Item_Investigations	2	2	0
Abdominal Imaging	Springer US		SpringerLink	10.1007/261.1432-0509	SN:261	0942-8925	1432-0509		Controlled	Unique_Item_Investigations	1	1	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		Controlled	Unique_Item_Requests	2	2	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		Controlled	Total_Item_Requests	2	2	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		Controlled	Total_Item_Investigations	2	2	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		Controlled	Unique_Item_Investigations	2	2	0
Acta Biotheoretica	Springer Netherlands		SpringerLink	10.1007/10441.1572-8358	SN:10441	0001-5342	1572-8358		OA_Gold	Unique_Item_Requests	1	1	0
Acta Biotheoretica	Springer Netherlands		SpringerLink	10.1007/10441.1572-8358	SN:10441	0001-5342	1572-8358		OA_Gold	Total_Item_Requests	2	2	0
Acta Biotheoretica	Springer Netherlands		SpringerLink	10.1007/10441.1572-8358	SN:10441	0001-5342	1572-8358		OA_Gold	Total_Item_Investigations	2	2	0
Acta Biotheoretica	Springer Netherlands		SpringerLink	10.1007/10441.1572-8358	SN:10441	0001-5342	1572-8358		OA_Gold	Unique_Item_Investigations	1	1	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600	1895-6572	1895-7455		Controlled	Unique_Item_Requests	2	2	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600	1895-6572	1895-7455		Controlled	Total_Item_Requests	2	2	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600	1895-6572	1895-7455		Controlled	Total_Item_Investigations	2	2	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600	1895-6572	1895-7455		Controlled	Unique_Item_Investigations	2	2	0
Acta Geotechnica	Springer Berlin Heidelberg		SpringerLink	10.1007/11440.1861-1133	SN:11440	1861-1125	1861-1133		Controlled	Unique_Item_Requests	1	1	0
Acta Geotechnica	Springer Berlin Heidelberg		SpringerLink	10.1007/11440.1861-1133	SN:11440	1861-1125	1861-1133		Controlled	Total_Item_Requests	2	2	0
Acta Geotechnica	Springer Berlin Heidelberg		SpringerLink	10.1007/11440.1861-1133	SN:11440	1861-1125	1861-1133		Controlled	Total_Item_Investigations	2	2	0
Acta Geotechnica	Springer Berlin Heidelberg		SpringerLink	10.1007/11440.1861-1133	SN:11440	1861-1125	1861-1133		Controlled	Unique_Item_Investigations	1	1	0
Acta Mechanica	Springer Vienna		SpringerLink	10.1007/707.1619-6937	SN:707	0001-5970	1619-6937		Controlled	Unique_Item_Requests	1	1	0
Acta Mechanica	Springer Vienna		SpringerLink	10.1007/707.1619-6937	SN:707	0001-5970	1619-6937		Controlled	Total_Item_Requests	2	2	0
Acta Mechanica	Springer Vienna		SpringerLink	10.1007/707.1619-6937	SN:707	0001-5970	1619-6937		Controlled	Total_Item_Investigations	3	3	0
Acta Mechanica	Springer Vienna		SpringerLink	10.1007/707.1619-6937	SN:707	0001-5970	1619-6937		Controlled	Unique_Item_Investigations	1	1	0
Acta Neurochirurgica	Springer-Verlag		SpringerLink		SN:701	0001-6268	0942-0940		Controlled	Unique_Item_Requests	1	1	0
Acta Neurochirurgica	Springer-Verlag		SpringerLink		SN:701	0001-6268	0942-0940		Controlled	Total_Item_Requests	1	1	0
Acta Neurochirurgica	Springer-Verlag		SpringerLink		SN:701	0001-6268	0942-0940		Controlled	Total_Item_Investigations	2	2	0
Acta Neurochirurgica	Springer-Verlag		SpringerLink		SN:701	0001-6268	0942-0940		Controlled	Unique_Item_Investigations	1	1	0
Acta Neurologica Belgica	Springer International Publishing		SpringerLink	10.1007/13760.2240-2993	SN:13760	0300-9009	2240-2993		Controlled	Unique_Item_Requests	1	1	0
Acta Neurologica Belgica	Springer International Publishing		SpringerLink	10.1007/13760.2240-2993	SN:13760	0300-9009	2240-2993		Controlled	Total_Item_Requests	3	3	0
Acta Neurologica Belgica	Springer International Publishing		SpringerLink	10.1007/13760.2240-2993	SN:13760	0300-9009	2240-2993		Controlled	Total_Item_Investigations	3	3	0
Acta Neurologica Belgica	Springer International Publishing		SpringerLink	10.1007/13760.2240-2993	SN:13760	0300-9009	2240-2993		Controlled	Unique_Item_Investigations	1	1	0
Acta Neuropathologica	Springer-Verlag		SpringerLink		SN:401	0001-6322	1432-0533		Controlled	Unique_Item_Requests	3	3	0
Acta Neuropathologica	Springer-Verlag		SpringerLink		SN:401	0001-6322	1432-0533		Controlled	Total_Item_Requests	4	4	0
Acta Neuropathologica	Springer-Verlag		SpringerLink		SN:401	0001-6322	1432-0533		Controlled	Total_Item_Investigations	7	7	0
Acta Neuropathologica	Springer-Verlag		SpringerLink		SN:401	0001-6322	1432-0533		Controlled	Unique_Item_Investigations	3	3	0
Acta Neuropathologica	Springer Berlin Heidelberg		SpringerLink	10.1007/401.1432-0533	SN:401	0001-6322	1432-0533		OA_Gold	Unique_Item_Requests	1	1	0
Acta Neuropathologica	Springer Berlin Heidelberg		SpringerLink	10.1007/401.1432-0533	SN:401	0001-6322	1432-0533		OA_Gold	Total_Item_Requests	1	1	0
Acta Neuropathologica	Springer Berlin Heidelberg		SpringerLink	10.1007/401.1432-0533	SN:401	0001-6322	1432-0533		OA_Gold	Total_Item_Investigations	1	1	0
Acta Neuropathologica	Springer Berlin Heidelberg		SpringerLink	10.1007/401.1432-0533	SN:401	0001-6322	1432-0533		OA_Gold	Unique_Item_Investigations	1	1	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		OA_Gold	Unique_Item_Requests	3	3	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		OA_Gold	Total_Item_Requests	5	5	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		OA_Gold	Total_Item_Investigations	5	5	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		OA_Gold	Unique_Item_Investigations	3	3	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		Controlled	Unique_Item_Requests	1	1	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		Controlled	Total_Item_Requests	2	2	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		Controlled	Total_Item_Investigations	2	2	0
Acta Parasitologica	Springer International Publishing		SpringerLink		SN:11686	1230-2821	1896-1851		Controlled	Unique_Item_Investigations	1	1	0
Acta Politica	Palgrave Macmillan UK		SpringerLink	10.1057/41269.1741-1416	SN:41269	0001-6810	1741-1416		Controlled	Total_Item_Investigations	2	2	0
Acta Politica	Palgrave Macmillan UK		SpringerLink	10.1057/41269.1741-1416	SN:41269	0001-6810	1741-1416		Controlled	Unique_Item_Investigations	2	2	0
Acta Veterinaria Scandinavica	BioMed Central		SpringerLink		SN:13028		1751-0147		OA_Gold	Unique_Item_Requests	2	2	0
Acta Veterinaria Scandinavica	BioMed Central		SpringerLink		SN:13028		1751-0147		OA_Gold	Total_Item_Requests	2	2	0
Acta Veterinaria Scandinavica	BioMed Central		SpringerLink		SN:13028		1751-0147		OA_Gold	Total_Item_Investigations	2	2	0
Acta Veterinaria Scandinavica	BioMed Central		SpringerLink		SN:13028		1751-0147		OA_Gold	Unique_Item_Investigations	2	2	0
Activitas Nervosa Superior	Springer International Publishing		SpringerLink		SN:41470	2510-2788	1802-9698		OA_Gold	Unique_Item_Requests	1	1	0
Activitas Nervosa Superior	Springer International Publishing		SpringerLink		SN:41470	2510-2788	1802-9698		OA_Gold	Total_Item_Requests	1	1	0
Activitas Nervosa Superior	Springer International Publishing		SpringerLink		SN:41470	2510-2788	1802-9698		OA_Gold	Total_Item_Investigations	1	1	0
Activitas Nervosa Superior	Springer International Publishing		SpringerLink		SN:41470	2510-2788	1802-9698		OA_Gold	Unique_Item_Investigations	1	1	0
Adaptive Human Behavior and Physiology	Springer International Publishing		SpringerLink		SN:40750		2198-7335		Controlled	Unique_Item_Requests	1	1	0
Adaptive Human Behavior and Physiology	Springer International Publishing		SpringerLink		SN:40750		2198-7335		Controlled	Total_Item_Requests	1	1	0
Adaptive Human Behavior and Physiology	Springer International Publishing		SpringerLink		SN:40750		2198-7335		Controlled	Total_Item_Investigations	1	1	0
Adaptive Human Behavior and Physiology	Springer International Publishing		SpringerLink		SN:40750		2198-7335		Controlled	Unique_Item_Investigations	1	1	0
Administration and Policy in Mental Health and Mental Health Services Research	Springer US		SpringerLink	10.1007/10488.1573-3289	SN:10488	0894-587X	1573-3289		Controlled	Unique_Item_Requests	1	1	0
Administration and Policy in Mental Health and Mental Health Services Research	Springer US		SpringerLink	10.1007/10488.1573-3289	SN:10488	0894-587X	1573-3289		Controlled	Total_Item_Requests	2	2	0
Administration and Policy in Mental Health and Mental Health Services Research	Springer US		SpringerLink	10.1007/10488.1573-3289	SN:10488	0894-587X	1573-3289		Controlled	Total_Item_Investigations	2	2	0
Administration and Policy in Mental Health and Mental Health Services Research	Springer US		SpringerLink	10.1007/10488.1573-3289	SN:10488	0894-587X	1573-3289		Controlled	Unique_Item_Investigations	1	1	0
Advances in Atmospheric Sciences	Science Press		SpringerLink	10.1007/376.1861-9533	SN:376	0256-1530	1861-9533		OA_Gold	Unique_Item_Requests	1	1	0
Advances in Atmospheric Sciences	Science Press		SpringerLink	10.1007/376.1861-9533	SN:376	0256-1530	1861-9533		OA_Gold	Total_Item_Requests	1	1	0
