Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:16Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205	2190-572X	2190-5738		2019	Unique_Item_Requests	2	2	0
3 Biotech	Springer International Publishing		SpringerLink	10.1007/13205.2190-5738	SN:13205	2190-572X	2190-5738		2019	Total_Item_Requests	2	2	0
Abdominal Imaging	Springer US		SpringerLink	10.1007/261.1432-0509	SN:261	0942-8925	1432-0509		2015	Unique_Item_Requests	1	1	0
Abdominal Imaging	Springer US		SpringerLink	10.1007/261.1432-0509	SN:261	0942-8925	1432-0509		2015	Total_Item_Requests	2	2	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		2019	Unique_Item_Requests	1	1	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		2019	Total_Item_Requests	1	1	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		2023	Unique_Item_Requests	1	1	0
Academic Psychiatry	Springer International Publishing		SpringerLink		SN:40596	1042-9670	1545-7230		2023	Total_Item_Requests	1	1	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600	1895-6572	1895-7455		2021	Unique_Item_Requests	1	1	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600	1895-6572	1895-7455		2021	Total_Item_Requests	1	1	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600		1895-7455		2023	Unique_Item_Requests	1	1	0
Acta Geophysica	Springer International Publishing		SpringerLink		SN:11600		1895-7455		2023	Total_Item_Requests	1	1	0
Acta Geotechnica	Springer Berlin Heidelberg		SpringerLink	10.1007/11440.1861-1133	SN:11440	1861-1125	1861-1133		2020	Unique_Item_Requests	1	1	0
Acta Geotechnica	Springer Berlin Heidelberg		SpringerLink	10.1007/11440.1861-1133	SN:11440	1861-1125	1861-1133		2020	Total_Item_Requests	2	2	0
Acta Mechanica	Springer Vienna		SpringerLink	10.1007/707.1619-6937	SN:707	0001-5970	1619-6937		2014	Unique_Item_Requests	1	1	0
Acta Mechanica	Springer Vienna		SpringerLink	10.1007/707.1619-6937	SN:707	0001-5970	1619-6937		2014	Total_Item_Requests	2	2	0
