Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:55Z
Created_By	Statista

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Statista.com:cdb	Total_Item_Requests	11	3	8
Statista.com:cdb	Total_Item_Investigations	11	3	8
Statista.com:cdb	Unique_Item_Requests	7	1	6
Statista.com:cdb	Unique_Item_Investigations	7	1	6
Statista.com:cdb	Searches_Platform	17	7	10
Statista.com:core	Total_Item_Requests	61	31	30
Statista.com:core	Total_Item_Investigations	61	31	30
Statista.com:core	Unique_Item_Requests	54	27	27
Statista.com:core	Unique_Item_Investigations	54	27	27
Statista.com:core	Total_Item_Requests	342	169	173
Statista.com:core	Total_Item_Investigations	342	169	173
Statista.com:core	Unique_Item_Requests	288	136	152
Statista.com:core	Unique_Item_Investigations	288	136	152
Statista.com:core	Total_Item_Requests	13	4	9
Statista.com:core	Total_Item_Investigations	43	12	31
Statista.com:core	Unique_Item_Requests	12	4	8
Statista.com:core	Unique_Item_Investigations	26	6	20
Statista.com:core	Total_Item_Investigations	11	5	6
Statista.com:core	Unique_Item_Investigations	10	5	5
Statista.com:core	Searches_Platform	303	184	119
Statista.com:xmo	Total_Item_Requests	15	10	5
Statista.com:xmo	Total_Item_Investigations	15	10	5
Statista.com:xmo	Unique_Item_Requests	10	6	4
Statista.com:xmo	Unique_Item_Investigations	10	6	4
Statista.com:xmo	Searches_Platform	294	182	112
Statista.de:core	Total_Item_Requests	1	1	0
Statista.de:core	Total_Item_Investigations	1	1	0
Statista.de:core	Unique_Item_Requests	1	1	0
Statista.de:core	Unique_Item_Investigations	1	1	0
Statista.de:core	Total_Item_Requests	1	1	0
Statista.de:core	Total_Item_Investigations	3	2	1
Statista.de:core	Unique_Item_Requests	1	1	0
Statista.de:core	Unique_Item_Investigations	2	1	1
