Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	10.1080/15507394.2023.2232606						Unique_Item_Investigations	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	10.1080/15507394.2023.2232606						Unique_Item_Requests	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	10.1080/15507394.2023.2232606						Total_Item_Investigations	1	1	0
50 Years of Religion and Education: Evolution and Transformation of the Treatment of Religion in Higher Education	Routledge		Taylor & Francis Online	10.1080/15507394.2023.2232606						Total_Item_Requests	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	10.1080/1360144X.2019.1705303						Unique_Item_Investigations	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	10.1080/1360144X.2019.1705303						Unique_Item_Requests	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	10.1080/1360144X.2019.1705303						Total_Item_Investigations	1	1	0
A call to action: exploring and responding to educational developers’ workplace burnout and well-being in higher education	Routledge		Taylor & Francis Online	10.1080/1360144X.2019.1705303						Total_Item_Requests	1	1	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	10.1080/15595692.2019.1652587						Unique_Item_Investigations	4	4	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	10.1080/15595692.2019.1652587						Unique_Item_Requests	4	4	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	10.1080/15595692.2019.1652587						Total_Item_Investigations	7	7	0
A Canadian study of coming full circle to traditional Aboriginal pedagogy: a pedagogy for the 21st century	Routledge		Taylor & Francis Online	10.1080/15595692.2019.1652587						Total_Item_Requests	7	7	0
A case of multiple personality: Diagnosis and therapy	Routledge		Taylor & Francis Online	10.1080/00207147408413001						Unique_Item_Investigations	1	1	0
A case of multiple personality: Diagnosis and therapy	Routledge		Taylor & Francis Online	10.1080/00207147408413001						Total_Item_Investigations	1	1	0
A clinician’s guide to ADHD treatment options	Taylor & Francis		Taylor & Francis Online	10.1080/00325481.2017.1354648						Unique_Item_Investigations	1	1	0
A clinician’s guide to ADHD treatment options	Taylor & Francis		Taylor & Francis Online	10.1080/00325481.2017.1354648						Total_Item_Investigations	2	2	0
A clinician’s guide to ADHD treatment options	Taylor & Francis		Taylor & Francis Online	10.1080/00325481.2017.1354648						No_License	2	2	0
A combined TDDA-PVC pH and reference electrode for use in the upper small intestine	Taylor & Francis		Taylor & Francis Online	10.3109/03091909009028758						Unique_Item_Investigations	1	1	0
A combined TDDA-PVC pH and reference electrode for use in the upper small intestine	Taylor & Francis		Taylor & Francis Online	10.3109/03091909009028758						Total_Item_Investigations	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	10.1080/07900627.2015.1020417						Unique_Item_Investigations	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	10.1080/07900627.2015.1020417						Unique_Item_Requests	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	10.1080/07900627.2015.1020417						Total_Item_Investigations	1	1	0
A comparative high-altitude meteorological analysis from three catchments in the Nepalese Himalaya	Routledge		Taylor & Francis Online	10.1080/07900627.2015.1020417						Total_Item_Requests	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	10.1080/02103702.2017.1364038						Unique_Item_Investigations	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	10.1080/02103702.2017.1364038						Unique_Item_Requests	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	10.1080/02103702.2017.1364038						Total_Item_Investigations	3	3	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	10.1080/02103702.2017.1364038						Total_Item_Requests	3	3	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	10.1080/1360144X.2023.2286983						Unique_Item_Investigations	10	10	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	10.1080/1360144X.2023.2286983						Unique_Item_Requests	7	7	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	10.1080/1360144X.2023.2286983						Total_Item_Investigations	14	14	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	10.1080/1360144X.2023.2286983						Total_Item_Requests	10	10	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	10.1300/J082v24n03_01						Unique_Item_Investigations	1	1	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	10.1300/J082v24n03_01						Total_Item_Investigations	2	2	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	10.1300/J082v24n03_01						No_License	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	10.1080/00332747.1997.11024783						Unique_Item_Investigations	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	10.1080/00332747.1997.11024783						Unique_Item_Requests	1	1	0
