Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:05:44Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Comparative History of Church-State Relationsin Irish Education	The University of Chicago Press		University of Chicago Press Journals	Judith Harford, Tom O’Donoghue; 	2015-07-17	VoR	10.1086/659871					Comparative Education Review			10.1086/cer	uchicago:cer	0010-4086	1545-701X		Controlled	Unique_Item_Requests	2	2	0
A Comparative History of Church-State Relationsin Irish Education	The University of Chicago Press		University of Chicago Press Journals	Judith Harford, Tom O’Donoghue; 	2015-07-17	VoR	10.1086/659871					Comparative Education Review			10.1086/cer	uchicago:cer	0010-4086	1545-701X		Controlled	Total_Item_Requests	3	3	0
A Comparison of Three Methods of Vocabulary Instruction during Read‐Alouds in Kindergarten	The University of Chicago Press		University of Chicago Press Journals	Rebecca Silverman; 	2015-07-17	VoR	10.1086/525549					The Elementary School Journal			10.1086/esj	uchicago:esj	0013-5984	1554-8279		Controlled	Unique_Item_Requests	2	2	0
A Comparison of Three Methods of Vocabulary Instruction during Read‐Alouds in Kindergarten	The University of Chicago Press		University of Chicago Press Journals	Rebecca Silverman; 	2015-07-17	VoR	10.1086/525549					The Elementary School Journal			10.1086/esj	uchicago:esj	0013-5984	1554-8279		Controlled	Total_Item_Requests	2	2	0
Gone with the Trees: Deciphering the Thar Desert’s Recurring Droughts	The University of Chicago Press		University of Chicago Press Journals	Karine Gagné; 	2015-07-17	VoR	10.1086/671074					Current Anthropology			10.1086/ca	uchicago:ca	0011-3204	1537-5382		Controlled	Unique_Item_Requests	1	1	0
Gone with the Trees: Deciphering the Thar Desert’s Recurring Droughts	The University of Chicago Press		University of Chicago Press Journals	Karine Gagné; 	2015-07-17	VoR	10.1086/671074					Current Anthropology			10.1086/ca	uchicago:ca	0011-3204	1537-5382		Controlled	Total_Item_Requests	1	1	0
Long Antibody Persistence and Transgenerational Transfer of Immunity in a Long-Lived Vertebrate	The University of Chicago Press		University of Chicago Press Journals	Jacob González-Solís, Raül Ramos, Romain Garnier, Thierry Boulinier; 	2015-07-17	VoR	10.1086/678400					The American Naturalist			10.1086/an	uchicago:an	0003-0147	1537-5323		Controlled	Unique_Item_Requests	1	1	0
Long Antibody Persistence and Transgenerational Transfer of Immunity in a Long-Lived Vertebrate	The University of Chicago Press		University of Chicago Press Journals	Jacob González-Solís, Raül Ramos, Romain Garnier, Thierry Boulinier; 	2015-07-17	VoR	10.1086/678400					The American Naturalist			10.1086/an	uchicago:an	0003-0147	1537-5323		Controlled	Total_Item_Requests	1	1	0
More-Than-Human Histories	The University of Chicago Press		University of Chicago Press Journals	Andrea Gaynor, Emily O’Gorman; 	2021-09-17	VoR	10.1093/envhis/emaa027					Environmental History			10.1086/eh	uchicago:eh	1084-5453	1930-8892		Controlled	Unique_Item_Requests	1	1	0
More-Than-Human Histories	The University of Chicago Press		University of Chicago Press Journals	Andrea Gaynor, Emily O’Gorman; 	2021-09-17	VoR	10.1093/envhis/emaa027					Environmental History			10.1086/eh	uchicago:eh	1084-5453	1930-8892		Controlled	Total_Item_Requests	1	1	0
On Defining Climate and Climate Change	The University of Chicago Press		University of Chicago Press Journals	Charlotte Werndl; 	2020-11-24	VoR	10.1093/bjps/axu048					The British Journal for the Philosophy of Science			10.1086/bjps	uchicago:bjps	0007-0882	1464-3537		Controlled	Unique_Item_Requests	1	1	0
On Defining Climate and Climate Change	The University of Chicago Press		University of Chicago Press Journals	Charlotte Werndl; 	2020-11-24	VoR	10.1093/bjps/axu048					The British Journal for the Philosophy of Science			10.1086/bjps	uchicago:bjps	0007-0882	1464-3537		Controlled	Total_Item_Requests	1	1	0
Soil Water Balance and Ecosystem Response to Climate Change	The University of Chicago Press		University of Chicago Press Journals	Amilcare Porporato, Edoardo Daly, Ignacio Rodriguez‐Iturbe; 	2015-07-17	VoR	10.1086/424970					The American Naturalist			10.1086/an	uchicago:an	0003-0147	1537-5323		Controlled	Unique_Item_Requests	1	1	0
