Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:06:03Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Archaeology	The University of Chicago Press		University of Chicago Press Journals	10.1086/aja	uchicago:aja		0002-9114	1939-828X		Unique_Item_Investigations	1	1	0
American Journal of Archaeology	The University of Chicago Press		University of Chicago Press Journals	10.1086/aja	uchicago:aja		0002-9114	1939-828X		Total_Item_Investigations	1	1	0
American Journal of Education	The University of Chicago Press		University of Chicago Press Journals	10.1086/aje	uchicago:aje		0195-6744	1549-6511		Unique_Item_Investigations	1	1	0
American Journal of Education	The University of Chicago Press		University of Chicago Press Journals	10.1086/aje	uchicago:aje		0195-6744	1549-6511		Total_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Unique_Item_Investigations	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Total_Item_Investigations	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		No_License	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Unique_Item_Investigations	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Unique_Item_Requests	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Total_Item_Investigations	3	3	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Total_Item_Requests	3	3	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Unique_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		Total_Item_Investigations	1	1	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer		0010-4086	1545-701X		No_License	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca		0011-3204	1537-5382		Unique_Item_Investigations	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca		0011-3204	1537-5382		Unique_Item_Requests	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca		0011-3204	1537-5382		Total_Item_Investigations	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca		0011-3204	1537-5382		Total_Item_Requests	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		Unique_Item_Investigations	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		Unique_Item_Requests	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		Total_Item_Investigations	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		Total_Item_Requests	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		Unique_Item_Investigations	2	2	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		Total_Item_Investigations	4	4	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh		1084-5453	1930-8892		No_License	4	4	0
International Journal of Plant Sciences	The University of Chicago Press		University of Chicago Press Journals	10.1086/ijps	uchicago:ijps		1058-5893	1537-5315		Unique_Item_Investigations	1	1	0
International Journal of Plant Sciences	The University of Chicago Press		University of Chicago Press Journals	10.1086/ijps	uchicago:ijps		1058-5893	1537-5315		Total_Item_Investigations	1	1	0
Journal of Political Economy	The University of Chicago Press		University of Chicago Press Journals	10.1086/jpe	uchicago:jpe		0022-3808	1537-534X		Unique_Item_Investigations	1	1	0
Journal of Political Economy	The University of Chicago Press		University of Chicago Press Journals	10.1086/jpe	uchicago:jpe		0022-3808	1537-534X		Total_Item_Investigations	1	1	0
Journal of Political Economy	The University of Chicago Press		University of Chicago Press Journals	10.1086/jpe	uchicago:jpe		0022-3808	1537-534X		No_License	2	2	0
Journal of the Society for Social Work and Research	The University of Chicago Press		University of Chicago Press Journals	10.1086/jsswr	uchicago:jsswr		2334-2315	1948-822X		Unique_Item_Investigations	2	2	0
Journal of the Society for Social Work and Research	The University of Chicago Press		University of Chicago Press Journals	10.1086/jsswr	uchicago:jsswr		2334-2315	1948-822X		Unique_Item_Requests	2	2	0
Journal of the Society for Social Work and Research	The University of Chicago Press		University of Chicago Press Journals	10.1086/jsswr	uchicago:jsswr		2334-2315	1948-822X		Total_Item_Investigations	2	2	0
Journal of the Society for Social Work and Research	The University of Chicago Press		University of Chicago Press Journals	10.1086/jsswr	uchicago:jsswr		2334-2315	1948-822X		Total_Item_Requests	2	2	0
Marine Resource Economics	The University of Chicago Press		University of Chicago Press Journals	10.1086/mre	uchicago:mre		0738-1360	2334-5985		Unique_Item_Investigations	2	2	0
Marine Resource Economics	The University of Chicago Press		University of Chicago Press Journals	10.1086/mre	uchicago:mre		0738-1360	2334-5985		Total_Item_Investigations	2	2	0
Marine Resource Economics	The University of Chicago Press		University of Chicago Press Journals	10.1086/mre	uchicago:mre		0738-1360	2334-5985		No_License	2	2	0
