Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:05:56Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		No_License	3	3	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh	1084-5453	1930-8892		No_License	4	4	0
Journal of Political Economy	The University of Chicago Press		University of Chicago Press Journals	10.1086/jpe	uchicago:jpe	0022-3808	1537-534X		No_License	2	2	0
Marine Resource Economics	The University of Chicago Press		University of Chicago Press Journals	10.1086/mre	uchicago:mre	0738-1360	2334-5985		No_License	5	5	0
The American Naturalist	The University of Chicago Press		University of Chicago Press Journals	10.1086/an	uchicago:an	0003-0147	1537-5323		No_License	2	2	0
The Elementary School Journal	The University of Chicago Press		University of Chicago Press Journals	10.1086/esj	uchicago:esj	0013-5984	1554-8279		No_License	4	4	0
