Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	uchicago:117870
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:05:46Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		2011	Unique_Item_Requests	2	2	0
Comparative Education Review	The University of Chicago Press		University of Chicago Press Journals	10.1086/cer	uchicago:cer	0010-4086	1545-701X		2011	Total_Item_Requests	3	3	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca	0011-3204	1537-5382		2013	Unique_Item_Requests	1	1	0
Current Anthropology	The University of Chicago Press		University of Chicago Press Journals	10.1086/ca	uchicago:ca	0011-3204	1537-5382		2013	Total_Item_Requests	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh	1084-5453	1930-8892		2020	Unique_Item_Requests	1	1	0
Environmental History	The University of Chicago Press		University of Chicago Press Journals	10.1086/eh	uchicago:eh	1084-5453	1930-8892		2020	Total_Item_Requests	1	1	0
Journal of the Society for Social Work and Research	The University of Chicago Press		University of Chicago Press Journals	10.1086/jsswr	uchicago:jsswr	2334-2315	1948-822X		2021	Unique_Item_Requests	2	2	0
Journal of the Society for Social Work and Research	The University of Chicago Press		University of Chicago Press Journals	10.1086/jsswr	uchicago:jsswr	2334-2315	1948-822X		2021	Total_Item_Requests	2	2	0
The American Naturalist	The University of Chicago Press		University of Chicago Press Journals	10.1086/an	uchicago:an	0003-0147	1537-5323		2004	Unique_Item_Requests	1	1	0
The American Naturalist	The University of Chicago Press		University of Chicago Press Journals	10.1086/an	uchicago:an	0003-0147	1537-5323		2004	Total_Item_Requests	1	1	0
The American Naturalist	The University of Chicago Press		University of Chicago Press Journals	10.1086/an	uchicago:an	0003-0147	1537-5323		2014	Unique_Item_Requests	1	1	0
The American Naturalist	The University of Chicago Press		University of Chicago Press Journals	10.1086/an	uchicago:an	0003-0147	1537-5323		2014	Total_Item_Requests	1	1	0
The British Journal for the Philosophy of Science	The University of Chicago Press		University of Chicago Press Journals	10.1086/bjps	uchicago:bjps	0007-0882	1464-3537		2016	Unique_Item_Requests	1	1	0
The British Journal for the Philosophy of Science	The University of Chicago Press		University of Chicago Press Journals	10.1086/bjps	uchicago:bjps	0007-0882	1464-3537		2016	Total_Item_Requests	1	1	0
The Elementary School Journal	The University of Chicago Press		University of Chicago Press Journals	10.1086/esj	uchicago:esj	0013-5984	1554-8279		2007	Unique_Item_Requests	2	2	0
The Elementary School Journal	The University of Chicago Press		University of Chicago Press Journals	10.1086/esj	uchicago:esj	0013-5984	1554-8279		2007	Total_Item_Requests	2	2	0
