Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:06:58Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0144						Unique_Item_Investigations	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0144						Unique_Item_Requests	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0144						Total_Item_Requests	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0144						Total_Item_Investigations	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	10.3138/jvme.32.4.447						Unique_Item_Investigations	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	10.3138/jvme.32.4.447						Unique_Item_Requests	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	10.3138/jvme.32.4.447						Total_Item_Requests	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	10.3138/jvme.32.4.447						Total_Item_Investigations	3	3	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	10.3138/jvme.34.5.554						Unique_Item_Investigations	1	1	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	10.3138/jvme.34.5.554						Unique_Item_Requests	1	1	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	10.3138/jvme.34.5.554						Total_Item_Requests	1	1	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	10.3138/jvme.34.5.554						Total_Item_Investigations	1	1	0
Attitudes of Veterinary Students at One US College toward Factors Relating to Farm Animal Welfare	University of Toronto Press		University of Toronto Press	10.3138/jvme.32.4.481						Unique_Item_Investigations	1	1	0
Attitudes of Veterinary Students at One US College toward Factors Relating to Farm Animal Welfare	University of Toronto Press		University of Toronto Press	10.3138/jvme.32.4.481						Total_Item_Investigations	1	1	0
Design and Validation of a Simulator for Equine Joint Injections	University of Toronto Press		University of Toronto Press	10.3138/jvme.0912-083R1						Unique_Item_Investigations	1	1	0
Design and Validation of a Simulator for Equine Joint Injections	University of Toronto Press		University of Toronto Press	10.3138/jvme.0912-083R1						Unique_Item_Requests	1	1	0
Design and Validation of a Simulator for Equine Joint Injections	University of Toronto Press		University of Toronto Press	10.3138/jvme.0912-083R1						Total_Item_Requests	1	1	0
Design and Validation of a Simulator for Equine Joint Injections	University of Toronto Press		University of Toronto Press	10.3138/jvme.0912-083R1						Total_Item_Investigations	1	1	0
Direct Measurement of Veterinary Student Learning Outcomes for the NAVMEC Professional Competencies in a Multi-User Virtual Learning Environment	University of Toronto Press		University of Toronto Press	10.3138/jvme.0318-025r2						Unique_Item_Investigations	1	1	0
Direct Measurement of Veterinary Student Learning Outcomes for the NAVMEC Professional Competencies in a Multi-User Virtual Learning Environment	University of Toronto Press		University of Toronto Press	10.3138/jvme.0318-025r2						Unique_Item_Requests	1	1	0
Direct Measurement of Veterinary Student Learning Outcomes for the NAVMEC Professional Competencies in a Multi-User Virtual Learning Environment	University of Toronto Press		University of Toronto Press	10.3138/jvme.0318-025r2						Total_Item_Requests	1	1	0
Direct Measurement of Veterinary Student Learning Outcomes for the NAVMEC Professional Competencies in a Multi-User Virtual Learning Environment	University of Toronto Press		University of Toronto Press	10.3138/jvme.0318-025r2						Total_Item_Investigations	1	1	0
Examining the Validity of the North American Veterinary Licensing Examination (NAVLE) Time Constraints	University of Toronto Press		University of Toronto Press	10.3138/jvme.0217-026r						Unique_Item_Investigations	1	1	0
Examining the Validity of the North American Veterinary Licensing Examination (NAVLE) Time Constraints	University of Toronto Press		University of Toronto Press	10.3138/jvme.0217-026r						Unique_Item_Requests	1	1	0
Examining the Validity of the North American Veterinary Licensing Examination (NAVLE) Time Constraints	University of Toronto Press		University of Toronto Press	10.3138/jvme.0217-026r						Total_Item_Requests	1	1	0
Examining the Validity of the North American Veterinary Licensing Examination (NAVLE) Time Constraints	University of Toronto Press		University of Toronto Press	10.3138/jvme.0217-026r						Total_Item_Investigations	1	1	0
Facilitating parent-child sexual health communication: Recommendations from the New Brunswick “Ask Me Anything” survey	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2023-0005						No_License	4	4	0
Facilitating parent-child sexual health communication: Recommendations from the New Brunswick “Ask Me Anything” survey	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2023-0005						Unique_Item_Investigations	4	4	0
Facilitating parent-child sexual health communication: Recommendations from the New Brunswick “Ask Me Anything” survey	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2023-0005						Total_Item_Investigations	4	4	0
Family members of Veterans with mental health problems: Seeking, finding, and accessing informal and formal supports during the military-to-civilian transition	University of Toronto Press		University of Toronto Press	10.3138/jmvfh-2019-0023						Unique_Item_Investigations	2	2	0
Family members of Veterans with mental health problems: Seeking, finding, and accessing informal and formal supports during the military-to-civilian transition	University of Toronto Press		University of Toronto Press	10.3138/jmvfh-2019-0023						Unique_Item_Requests	2	2	0
Family members of Veterans with mental health problems: Seeking, finding, and accessing informal and formal supports during the military-to-civilian transition	University of Toronto Press		University of Toronto Press	10.3138/jmvfh-2019-0023						Total_Item_Requests	3	3	0
Family members of Veterans with mental health problems: Seeking, finding, and accessing informal and formal supports during the military-to-civilian transition	University of Toronto Press		University of Toronto Press	10.3138/jmvfh-2019-0023						Total_Item_Investigations	3	3	0
