Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:07:09Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	Ann E. Hohenhaus, David C. Provost; 	2024-01-23	VoR	10.3138/jvme-2023-0144					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Controlled	Total_Item_Requests	1	1	0
A Unique Spectrum of Care Tool Provides a Self-Regulated Learning Opportunity and Facilitates Client Communication	University of Toronto Press		University of Toronto Press	Ann E. Hohenhaus, David C. Provost; 	2024-01-23	VoR	10.3138/jvme-2023-0144					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Controlled	Unique_Item_Requests	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	Cindy L. Adams, Patricia V. Turner, Suzanne T. Millman; 	2015-09-09	VoR	10.3138/jvme.32.4.447					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Total_Item_Requests	1	1	0
Animal Welfare Training at the Ontario Veterinary College	University of Toronto Press		University of Toronto Press	Cindy L. Adams, Patricia V. Turner, Suzanne T. Millman; 	2015-09-09	VoR	10.3138/jvme.32.4.447					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Unique_Item_Requests	1	1	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	David D.S. Collie, Gidona Goodman, Jo-Anne Murray, Kay Aitchison, Michael S. Cockram; 	2011-02-04	VoR	10.3138/jvme.34.5.554					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Total_Item_Requests	1	1	0
Animal-Handling Teaching at the Royal (Dick) School of Veterinary Studies, University of Edinburgh	University of Toronto Press		University of Toronto Press	David D.S. Collie, Gidona Goodman, Jo-Anne Murray, Kay Aitchison, Michael S. Cockram; 	2011-02-04	VoR	10.3138/jvme.34.5.554					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Unique_Item_Requests	1	1	0
Design and Validation of a Simulator for Equine Joint Injections	University of Toronto Press		University of Toronto Press	Charlotte Sinclair, David M. Bolt, John Lowe, Renate Weller, Victoria Fox; 	2013-01-01	VoR	10.3138/jvme.0912-083R1					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Total_Item_Requests	1	1	0
Design and Validation of a Simulator for Equine Joint Injections	University of Toronto Press		University of Toronto Press	Charlotte Sinclair, David M. Bolt, John Lowe, Renate Weller, Victoria Fox; 	2013-01-01	VoR	10.3138/jvme.0912-083R1					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Unique_Item_Requests	1	1	0
Direct Measurement of Veterinary Student Learning Outcomes for the NAVMEC Professional Competencies in a Multi-User Virtual Learning Environment	University of Toronto Press		University of Toronto Press	Amy Hilburn, Angela Clendenin, Brandon Dominguez, Cheryl L. Ellis, Debra L. Zoran, Noberto F. Espitia, Sammie M. Crosby, Wesley T. Bissett, William Moyer; 	2020-05-15	VoR	10.3138/jvme.0318-025r2					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Total_Item_Requests	1	1	0
Direct Measurement of Veterinary Student Learning Outcomes for the NAVMEC Professional Competencies in a Multi-User Virtual Learning Environment	University of Toronto Press		University of Toronto Press	Amy Hilburn, Angela Clendenin, Brandon Dominguez, Cheryl L. Ellis, Debra L. Zoran, Noberto F. Espitia, Sammie M. Crosby, Wesley T. Bissett, William Moyer; 	2020-05-15	VoR	10.3138/jvme.0318-025r2					Journal of Veterinary Medical Education			10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		OA_Gold	Unique_Item_Requests	1	1	0
