Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:07:37Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Unique_Item_Requests	3	3	0
Journal of Veterinary Medical Education	University of Toronto Press		University of Toronto Press	10.3138/jvme	utoronto:jvme	0748-321X	1943-7218		Total_Item_Requests	4	4	0
